timestamp,spot_open,spot_high,spot_low,spot_close,spot_volume,fut_open,fut_high,fut_low,fut_close,fut_volume,spot_returns,fut_returns,log_returns,volatility_20,volatility_60,vol_ratio,basis,basis_pct,basis_sma_20,basis_std_20,basis_zscore,basis_momentum,basis_pct_lag_1,basis_zscore_lag_1,sma_20,sma_50,price_to_sma_20,price_to_sma_50,above_sma_20,above_sma_50,rsi,ema_12,ema_26,macd,macd_signal,macd_hist,momentum_10,rolling_corr,log_spread
2024-03-30 00:00:00+00:00,69846.2,70331.0,69528.1,69570.9,1012.86044795,69864.6,70400.0,69566.3,69610.7,2165716.0,0.00023492448066812847,0.0002340491184053251,,0.44863007869772914,,,39.80000000000291,0.05720782683564955,,,-0.050383714707875664,-0.781192204318797,-0.0037851769672939887,-0.049052227743760335,,,1.0013020572242783,1.0052927139903385,0,0,51.106564844600584,69570.9,69570.9,0.0,0.0,0.0,0.2559265989066658,0.9999545088440898,0.0005719146939658462
2024-03-31 00:00:00+00:00,69578.4,71349.0,69553.4,71264.5,1171.48622633,69615.7,71478.5,69603.5,71379.7,2858788.0,0.02434351143940927,0.025412759819970265,0.024051930753107877,0.44863007869772914,,,115.19999999999709,0.16165131306610878,,,-0.050383714707875664,-0.781192204318797,0.05720782683564955,-0.049052227743760335,,,1.0013020572242783,1.0052927139903385,0,0,51.106564844600584,69831.45384615385,69696.35185185184,135.10199430200737,27.020398860401475,108.0815954416059,0.2559265989066658,0.9999545088440898,0.0016152079796501895
2024-04-01 00:00:00+00:00,71257.7,71274.8,68039.1,69653.0,3362.17964514,71369.9,71369.9,68109.2,69662.3,7755603.0,-0.022612941927607766,-0.02406006189434806,-0.022872535411983676,0.44863007869772914,,,9.30000000000291,0.013351901569211535,,,-0.050383714707875664,-0.781192204318797,0.16165131306610878,-0.049052227743760335,,,1.0013020572242783,1.0052927139903385,0,0,51.106564844600584,69803.99940828403,69693.14060356651,110.85880471751443,43.788080031824066,67.07072468569037,0.2559265989066658,0.9999545088440898,0.00013351010282171456
2024-04-02 00:00:00+00:00,69653.0,69677.5,64597.5,65482.9,5617.67420237,69654.7,69682.0,64579.9,65475.8,14941047.0,-0.059869639498657645,-0.060097068285141275,-0.06173673194905493,0.44863007869772914,,,-7.099999999998545,-0.010842525300496075,,,-0.050383714707875664,-0.781192204318797,0.013351901569211535,-0.049052227743760335,,,1.0013020572242783,1.0052927139903385,0,0,51.106564844600584,69139.21488393264,69381.27092922825,-242.05604529561242,-13.380745033663231,-228.6753002619492,0.2559265989066658,0.9999545088440898,-0.00010843113144758074
2024-04-03 00:00:00+00:00,65473.1,66890.9,64455.7,65959.2,3870.98618484,65474.8,66952.6,64474.2,65955.9,7495847.0,0.007273654648770833,0.007332480091881033,0.007247329200531031,0.44863007869772914,,,-3.3000000000029104,-0.005003092821021041,,,-0.050383714707875664,-0.781192204318797,-0.010842525300496075,-0.049052227743760335,,,1.0013020572242783,1.0052927139903385,0,0,51.106564844600584,68649.98182486609,69127.78419372987,-477.8023688637768,-106.26506979968595,-371.53729906409086,0.2559265989066658,0.9999545088440898,-5.003217979884399e-05
2024-04-04 00:00:00+00:00,65960.0,69317.1,65048.8,68485.2,3768.50331924,65955.8,69315.6,65070.6,68494.0,9270012.0,0.03829640141178192,0.03848177342739634,0.03758129447496054,0.44863007869772914,,,8.80000000000291,0.012849491568985577,,,-0.050383714707875664,-0.7753892731164137,-0.005003092821021041,-0.049052227743760335,,,1.0013020572242783,1.0052927139903385,0,0,51.106564844600584,68624.6307748867,69080.18536456469,-455.55458967799495,-176.12297377534776,-279.4316159026472,0.2559265989066658,0.9999545088440898,0.00012848666092533532
2024-04-05 00:00:00+00:00,68485.2,68740.6,65957.7,67822.4,3976.13839317,68495.3,68776.0,65942.5,67818.7,9257361.0,-0.00967800342263736,-0.00985925774520402,-0.009725139667470262,0.44863007869772914,,,-3.6999999999970896,-0.005455424756418367,,,-0.050383714707875664,-1.0337481004820994,0.012849491568985577,-0.049052227743760335,,,1.0013020572242783,1.0052927139903385,0,0,51.106564844600584,68501.21065567336,68987.01607830064,-485.80542262727977,-238.05946354573416,-247.7459590815456,0.2559265989066658,0.9999545088440898,-5.4555735701262506e-05
2024-04-06 00:00:00+00:00,67822.5,69659.0,67453.0,68886.0,1774.49422201,67818.7,69687.2,67451.9,68896.7,3280815.0,0.01568213451603029,0.015895320907065358,0.015560440477158611,0.44863007869772914,,,10.69999999999709,0.015532909444585387,,,-0.050383714707875664,0.16334810918641654,-0.005455424756418367,-0.049052227743760335,,,1.0013020572242783,1.0052927139903385,0,0,51.106564844600584,68560.40901633899,68979.53340583394,-419.1243894949439,-274.2724487355761,-144.85194075936778,0.2559265989066658,0.9999545088440898,0.00015531703213110065
2024-04-07 00:00:00+00:00,68886.0,70345.0,68824.1,69350.0,2644.14713027,68906.2,70344.7,68834.4,69372.9,4535127.0,0.0067357663385883,0.006911796936573067,0.006713182421110602,0.44863007869772914,,,22.89999999999418,0.03302090843546385,,,-0.050383714707875664,-4.045499781674759,0.015532909444585387,-0.049052227743760335,,,1.0013020572242783,1.0052927139903385,0,0,51.106564844600584,68681.88455228684,69006.97537577216,-325.09082348532684,-284.43612368552624,-40.654699799800596,0.2559265989066658,0.9999545088440898,0.0003301545773337771
2024-04-08 00:00:00+00:00,69350.0,72780.5,69049.1,71626.4,3092.76991831,69373.0,72815.9,69036.1,71649.7,8624230.0,0.03282480173035318,0.03281973220090273,0.03229757433085603,0.44863007869772914,,,23.30000000000291,0.03252990517463242,,,-0.050383714707875664,-7.5019591557355225,0.03302090843546385,-0.049052227743760335,,,1.0013020572242783,1.0052927139903385,0,0,51.106564844600584,69134.88692885809,69201.00682941866,-66.11990056057402,-240.77287906053581,174.6529784999618,0.2559265989066658,0.9999545088440898,0.00032524615348137855
